variant,trades,win_rate,sharpe,total_return_pct,net_return_pct,max_dd_pct,profit_factor,avg_ret_pct,avg_win_pct,avg_loss_pct
A. MACD Crossover 1H,619,57.0,2.4899,251.61,182.9,13.58,2.95,0.406,1.078,-0.518
B. MACD Hist Flip 1H,619,57.0,2.4899,251.61,182.9,13.58,2.95,0.406,1.078,-0.518
C. Red→Green Flip 1H,619,57.0,2.4899,251.61,182.9,13.58,2.95,0.406,1.078,-0.518
D. Bull Div 15m + MACD G,356,61.5,1.8293,107.4,67.88,7.57,2.97,0.302,0.74,-0.437
E. Combined (Cross+noBear),487,66.3,2.9273,180.06,126.0,3.28,4.72,0.37,0.707,-0.336
A2. MACD Cross + 2% SL,619,57.0,2.4875,250.78,182.07,14.34,2.93,0.405,1.078,-0.521
C2. Red→Green + 2% SL,619,57.0,2.4875,250.78,182.07,14.34,2.93,0.405,1.078,-0.521
E2. Combined + 2% SL,487,66.3,2.9305,180.15,126.09,3.28,4.73,0.37,0.707,-0.336
F. MACD Cross Hold 2d,619,57.8,2.5417,227.35,158.64,13.31,2.85,0.367,0.978,-0.498
G. MACD Cross Hold 5d,619,56.4,2.5383,279.12,210.41,15.63,3.06,0.451,1.187,-0.533
